Name,FB02UID,Username,Password,Matrikel,Raum,Platz,Date
Test User 0, test02s,wus-test02s, 76546, 0, 0000, 0, 22.03.2019
Test User 1, test12s,wus-test12s, 70515, 1, 0000, 0, 22.03.2019
Test User 2, test22s,wus-test22s, 97133, 2, 0000, 0, 22.03.2019
Test User 3, test32s,wus-test32s, 44364, 3, 0000, 0, 22.03.2019
Test User 4, test42s,wus-test42s, 31790, 4, 0000, 0, 22.03.2019
Test User 5, test52s,wus-test52s, 27001, 5, 0000, 0, 22.03.2019
Test User 6, test62s,wus-test62s, 99926, 6, 0000, 0, 22.03.2019
Test User 7, test72s,wus-test72s, 49358, 7, 0000, 0, 22.03.2019
Test User 8, test82s,wus-test82s, 29474, 8, 0000, 0, 22.03.2019
Test User 9, test92s,wus-test92s, 59598, 9, 0000, 0, 22.03.2019
